,subjects,elecs,s_Mai_RL,0_theta_AUC,1_alpha_AUC,2_beta_AUC,3_gamma_AUC,0_theta_Pow0,1_alpha_Pow0,2_beta_Pow0,3_gamma_Pow0,0_theta_Pow1,1_alpha_Pow1,2_beta_Pow1,3_gamma_Pow1,sig_1levtheta,sig_1levalpha,sig_1levbeta,sig_1levgamma,region,2lev_sig_theta,2lev_sig_alpha,2lev_sig_beta,2lev_sig_gamma
54,S0,54,SFG,0.7833333333333332,0.6583333333333333,0.985,0.835,94.39140532489522,120.67126455368772,138.84251424703265,13.093724096914238,270.45675544422437,198.5888112151033,229.50525969069938,18.470940627029073,1,0,1,1,Frontal,0,0,0,0
55,S0,55,SFG,0.775,0.7583333333333333,0.9766666666666666,0.7583333333333333,64.63311623371621,139.55090667047418,60.03045935866953,7.765873961047652,140.42979588308708,75.45779253647126,109.98813335029823,10.95062785043643,1,1,1,1,Frontal,0,0,0,0
56,S0,56,MFG,0.74,0.8499999999999999,0.7933333333333332,0.9966666666666668,6.751258309322767,3.7192795361284574,9.634688242800452,1.4073295128412473,11.477209588912947,6.89234014142344,12.706813284789574,2.3903514752262307,1,1,1,1,Frontal,0,1,0,0
57,S0,57,MFG,0.6449999999999999,0.6583333333333332,0.73,0.9016666666666666,13.368466417176876,4.340978289967975,8.857771978946056,1.3602445616406964,9.688763324689887,6.017817123562013,11.389303125286933,1.6534494595386109,0,0,1,1,Frontal,0,0,0,0
58,S1,0,Amg,0.8533333333333333,0.8925000000000001,0.8641666666666665,0.9383333333333332,119.51890666206104,60.13000744360676,46.89330294504477,7.157370742635488,63.862600959870356,14.898306339691231,22.36153513607902,4.922607213554727,1,1,1,1,Olf,0,0,0,1
59,S1,1,Amg,0.7508333333333334,0.8983333333333332,0.9083333333333332,0.9716666666666668,72.38017892336738,22.76884667885702,16.833658040387114,6.577123461900742,46.62897132989403,8.853325549985778,10.301643589893512,3.2944238723423505,1,1,1,1,Olf,0,0,1,1
60,S1,5,HC,0.8225,0.8150000000000001,0.8266666666666665,0.8225,1480.6583967076936,305.385886317087,226.02415169935398,13.612566202363768,574.7043717604597,176.766220944521,65.68054648837793,6.84528724055521,1,1,1,1,MTL,0,1,1,1
61,S1,6,HC,0.8375,0.8841666666666669,0.8166666666666667,0.8191666666666666,607.7851931175065,259.85622421550215,408.7631887050557,10.368522292531708,250.49998612019007,75.17863544492829,67.49788196395848,3.547235066711544,1,1,1,1,MTL,1,0,0,1
62,S1,7,HC,0.805,0.8408333333333333,0.7975000000000001,0.8566666666666667,198.53839929568556,117.67276595941809,110.42523813224646,2.554821872337683,97.40717004213093,34.39223451628137,15.325894024562347,1.138603166765621,1,1,1,1,MTL,0,1,1,1
63,S1,8,HC,0.8408333333333333,0.835,0.8333333333333334,0.8,254.74027422867547,37.81313695756217,33.28564686953145,3.0266880410477763,118.60186821955324,20.889861730522547,13.063164741148205,4.091010788073616,1,1,1,1,MTL,0,0,0,0
64,S1,9,HC,0.8233333333333333,0.8641666666666667,0.8850000000000001,0.6491666666666667,329.46732617397737,47.69810281113574,19.903503970889425,1.97080471796606,162.54202001204285,21.258781454559728,10.079894633718613,2.2488945349127603,1,1,1,0,MTL,1,0,0,0
65,S1,14,HC,0.78,0.6325000000000001,0.6099999999999999,0.6241666666666668,883.4702272336423,102.90503639799454,53.92668006329274,7.191559877764451,360.7166743352732,231.09981400985527,201.4319211794245,15.884866387514816,1,0,0,0,MTL,1,0,0,0
66,S1,15,HC,0.7133333333333334,0.6966666666666667,0.6583333333333333,0.885,472.01472953421614,311.15260232643845,55.631526112672475,9.47019721253905,313.6927580733674,135.17889388384927,107.93402520701832,13.110887170654635,1,1,0,1,MTL,0,0,0,0
67,S1,16,HC,0.7274999999999999,0.6116666666666666,0.6325,0.8324999999999999,1984.1840157588351,531.302983029017,82.953458206572,10.766820211502866,520.7157322016677,285.7599991708818,108.46913059716918,15.795352649554314,1,0,0,1,MTL,0,0,0,0
68,S1,17,HC,0.7633333333333334,0.7350000000000001,0.7783333333333333,0.8158333333333333,248.86818795485772,77.04667971451507,8.556194401578692,2.1148644212336203,76.29500286946325,19.455326580206293,12.175993296285965,3.045440252674555,1,1,1,1,MTL,0,0,0,0
69,S1,18,HC,0.6983333333333334,0.65,0.7658333333333334,0.7841666666666666,67.75826703969294,23.55099579588992,3.318441720850416,0.7181519565573549,27.00890252290082,10.836196408163275,4.5719250146752985,0.8341471756607468,1,0,1,1,MTL,0,0,0,0
70,S1,20,PHG,0.8424999999999999,0.7808333333333334,0.8758333333333332,0.7841666666666668,414.060721707116,113.5720124533294,86.54433888248332,6.834057412974068,176.46863102460128,62.9368890353284,30.332841626164498,4.385517194818282,1,1,1,1,MTL,0,0,1,1
71,S1,21,PHG,0.6358333333333333,0.8758333333333332,0.8525,0.8591666666666666,877.6372068398973,301.28403755724105,149.4747466104354,9.147110395300393,1072.8923969848054,119.53749055004049,58.61458986048905,5.461894960410596,0,1,1,1,MTL,0,0,0,1
72,S1,22,PHG,0.7150000000000001,0.61,0.7825,0.8375,1493.1206297120361,188.01563563395192,100.86574221453749,7.084156571006299,684.8101365975099,141.2268095619814,59.656796562406385,5.624505883172287,1,0,1,1,MTL,0,0,0,0
73,S1,30,PHG,0.6900000000000001,0.6075,0.7291666666666666,0.6283333333333333,17617.751384601186,2934.8047845676965,597.7128839847492,103.42869286694349,3433.35749931034,854.9088195003931,337.6642597917522,69.71835031126402,0,0,1,0,MTL,0,0,0,0
74,S1,31,PHG,0.6758333333333333,0.6683333333333333,0.7700000000000002,0.77,10203.687207282923,1293.5868930346858,1131.2794744061555,101.26312274858392,2870.627780868217,735.3674521731474,472.05857923918296,123.09752037167016,0,0,1,1,MTL,0,0,0,1
75,S1,32,PHG,0.8091666666666667,0.6691666666666667,0.7783333333333334,0.6983333333333334,999.0209151886996,360.63952021621714,150.4508379708925,11.029677189393187,453.83194706021516,171.1192473224251,84.83811789931147,13.052742751334446,1,0,1,1,MTL,0,0,0,0
76,S1,33,PHG,0.7691666666666667,0.6391666666666667,0.685,0.93,1022.9179158354443,768.9351423659504,194.6984938541319,13.335307065076213,651.5207082128951,503.6203346902816,155.0218961628561,19.611477142897012,1,0,0,1,MTL,0,0,0,0
77,S1,40,HC,0.7975,0.8683333333333334,0.885,0.8358333333333332,65.67540115539518,13.160173397548597,4.316129558045904,0.9870150437236382,28.54990798259597,5.407577716927885,2.183947413017116,1.3992725810679636,1,1,1,1,MTL,0,0,0,0
78,S1,41,HC,0.845,0.8766666666666666,0.745,0.8216666666666665,68.25807344668767,10.1584869763297,3.646037076535238,1.07958615923846,20.373433950173613,4.425025426901988,2.2144928789995624,1.5611182882768324,1,1,1,1,MTL,0,0,0,0
79,S1,47,Ins,0.8941666666666667,0.8266666666666668,0.8474999999999999,0.8041666666666666,668.2101100004497,190.64514956288068,211.63610387098754,7.629273047195537,253.0513907411772,50.380751241767655,51.13507679289588,3.8739552435891538,1,1,1,1,Olf,0,0,0,0
80,S1,48,Ins,0.8891666666666669,0.8566666666666668,0.905,0.8425,733.9566833036866,150.25697199156818,291.06064175264333,11.223696161279928,319.39366916243955,47.09108425031115,76.94265435405893,7.6198317234371915,1,1,1,1,Olf,0,0,0,1
81,S1,49,Ins,0.8741666666666668,0.8366666666666667,0.8641666666666667,0.8299999999999998,6767.4880161595875,2120.9108750054475,2020.2190011996568,50.74807736495413,2250.595005138241,322.84162616782675,338.4439457832322,13.273683130663107,1,1,1,1,Olf,0,0,0,0
82,S1,51,pPirT,0.7883333333333334,0.9066666666666668,0.8741666666666668,0.8916666666666668,140.25702687023738,30.75469696157739,27.207471676062077,1.7472555418814066,54.22356672823222,8.186340984652299,6.819548343187753,0.965129341651615,1,1,1,1,Olf,0,0,0,1
83,S1,56,pPirT,0.805,0.8341666666666668,0.6675,0.8366666666666667,1179.050312257811,181.9071050099628,71.4715810691572,5.422411712392746,720.2931703762364,94.93442624440992,39.03240400898292,6.8502893654359545,1,1,0,1,Olf,0,0,0,0
84,S1,57,pPirT,0.5033333333333333,0.6141666666666666,0.6700000000000002,0.9016666666666668,154.34813483749338,30.917363592086808,16.497692190167793,1.9534528564557392,180.05750494318696,44.896791147880926,22.56481624740345,2.754524909654604,0,0,0,1,Olf,0,0,0,0
85,S1,58,pPirT,0.7666666666666667,0.745,0.8008333333333333,0.7691666666666667,120.21252744971376,21.964610428722374,7.093424607343825,1.0353688576346365,65.68018710623787,31.054120934876146,10.813359035421367,1.418694106096924,1,1,1,1,Olf,0,0,0,0
86,S1,59,PHG,0.7883333333333333,0.775,0.6249999999999999,0.695,1155.172419522866,404.3997926446154,152.23052352484103,18.797296189046246,595.0262556914689,275.83622911465943,133.8898878964516,17.44559655044597,1,1,0,1,MTL,0,0,0,0
87,S1,60,PHG,0.7199999999999999,0.8241666666666667,0.7358333333333333,0.705,380.7260796933323,247.27934784747845,105.18247017003685,11.948658484896065,606.78265345351,111.38893945095171,80.26812932210937,10.673284421101034,1,1,1,1,MTL,0,0,0,0
88,S1,61,PHG,0.6933333333333334,0.8158333333333333,0.865,0.7300000000000001,1286.9289164904276,729.556977649602,258.6079743827023,7.177362574924638,899.2138111399578,324.611670316358,133.93177392009355,8.136604737718216,1,1,1,1,MTL,0,0,0,0
89,S1,62,PHG,0.7358333333333333,0.795,0.7616666666666667,0.7975000000000001,1139.0595455262664,208.46953823194355,132.4055702104684,7.9230727950185855,1696.4947028446622,120.55586191582458,48.09092360237706,5.097769198573936,1,1,1,1,MTL,1,1,0,1
90,S1,63,PHG,0.7783333333333333,0.78,0.7658333333333334,0.8525,92.28173638539783,23.925427556301894,16.391129348662545,1.0036901777812588,174.60207552557694,12.505990730961573,4.743579328254945,1.464553580068462,1,1,1,1,MTL,0,0,0,0
91,S1,69,OFC,0.9033333333333337,0.8691666666666666,0.7733333333333334,0.8166666666666667,530.3321755689765,288.820309261364,97.66247120489862,6.585858553739989,109.52859551170376,62.76594678922272,25.839834975540448,12.62225324143171,1,1,1,1,Olf,0,0,0,0
92,S1,70,OFC,0.8633333333333333,0.8091666666666667,0.8341666666666665,0.78,2693.022813499724,494.3618188041457,206.4432461464001,19200.035880230243,914.3509347739232,145.89184586109303,130.72705027569864,51669.33286348632,1,1,1,1,Olf,0,0,0,0
93,S1,71,OFC,0.8374999999999998,0.8041666666666666,0.9075,0.7925,1274.025684989063,235.6031212876861,171.93802766905404,19254.10710272882,605.7182699558282,109.11908543288787,114.02744121920672,52188.237213492335,1,1,1,1,Olf,0,0,1,0
94,S1,72,OFC,0.7983333333333335,0.8408333333333333,0.7491666666666668,0.805,807.1858920750032,274.95268846165317,49.922681084840185,2.6810083557558544,127.79430977749466,42.35208174398732,27.484568155866928,4.257659903617829,1,1,1,1,Olf,0,0,0,1
95,S1,73,OFC,0.8508333333333333,0.8641666666666667,0.6858333333333333,0.8816666666666666,582.9111857540076,173.04814487206482,100.02380360263632,4.460170392055468,203.17369126611007,46.9380094285667,67.56838727548487,6.388985178929969,1,1,0,1,Olf,0,0,0,0
96,S1,74,OFC,0.8616666666666667,0.7466666666666666,0.8083333333333332,0.9066666666666666,563.3980985271608,360.3169542703469,129.8368349093686,7.3714159359539675,125.96795739691221,167.6246352215463,80.23045396575405,10.637568924334603,1,1,1,1,Olf,0,0,0,1
97,S1,75,IFG,0.7358333333333335,0.8466666666666667,0.9516666666666668,0.8724999999999999,6550.054777454523,1012.1346392715272,536.3109432630266,9.403255811565923,3721.327974491121,328.319255396912,236.32342237631423,14.749980801482911,1,1,1,1,Frontal,0,0,0,1
98,S1,76,IFG,0.8183333333333334,0.89,0.9466666666666668,0.7966666666666667,5906.112577458721,1995.628821111837,539.3606653912135,15.767060563960063,1108.8782922631776,253.4442190977164,144.6048076051164,11.372721765873086,1,1,1,1,Frontal,0,0,0,1
99,S1,77,IFG,0.7925000000000001,0.8258333333333334,0.8175000000000001,0.7550000000000001,3851.497684323254,986.9630183274833,262.1907585927816,9.717766925709256,802.5046047108783,278.48946467183447,156.59541477811544,6.942984577355821,1,1,1,1,Frontal,0,0,0,0
100,S1,78,IFG,0.8833333333333334,0.7975000000000001,0.845,0.7758333333333335,757.8240899312692,542.0359981318613,440.1819462746521,11.006136228556123,174.5551901249641,193.70137047440886,117.70646488293603,5.733204718858873,1,1,1,1,Frontal,0,1,0,0
101,S1,79,Ins,0.9025,0.8550000000000001,0.935,0.785,239.9618824488149,63.27629930782773,39.39443141720008,4.0389381565241385,69.1348833951668,16.524468230841087,15.032834447055226,3.2487118349567337,1,1,1,1,Olf,0,0,0,1
102,S1,80,Ins,0.9433333333333332,0.775,0.9108333333333334,0.8816666666666666,283.9494672736511,93.54570732479904,34.339443809555114,5.492508429256966,90.97015597845993,45.70312159331785,17.984749699902533,2.9291267056536663,1,1,1,1,Olf,1,1,1,0
103,S1,81,Ins,0.8383333333333333,0.9041666666666668,0.8550000000000001,0.9475,2196.9611482921814,395.25561730510873,130.43573181810294,8.435102741125615,779.5559830740973,84.46657804515158,33.46821164231268,4.292893310322393,1,1,1,1,Olf,0,0,0,0
104,S2,0,Amg-PirT,0.7097380952380952,0.5128095238095238,0.6912857142857143,0.5685476190476191,29.805255084015965,10.68496910449092,12.387759480981765,2.926806872745176,19.96646192428685,12.355817461452231,15.574267304447265,3.1382359536987834,1,0,1,0,Olf,0,0,0,0
105,S2,1,Ins,0.5580714285714287,0.6050714285714285,0.6420476190476192,0.5557380952380953,71.24288021417192,13.532120267955055,29.692701940987874,3.6024127861183954,51.194894499011895,16.569200939627656,37.77565527446401,3.908566154781093,0,1,1,0,Olf,0,1,1,0
106,S2,2,Ins,0.5362380952380953,0.6758571428571429,0.6374047619047619,0.7270000000000001,420.77502611393294,80.42479654396291,90.92491690131165,7.950974094062163,275.19686079188773,50.36982391013002,115.41394425106569,10.002547802855485,0,1,1,1,Olf,0,0,1,1
107,S2,7,HC,0.6391190476190476,0.5920000000000001,0.5482619047619048,0.5025000000000001,19.75085520548821,3.6611052151134884,6.304116508895253,1.9885349463750912,30.36295985144813,4.492675690697356,7.308369742994348,1.96940994468118,1,0,0,0,MTL,1,0,0,0
108,S2,8,HC,0.7188333333333333,0.6040714285714286,0.7251904761904762,0.5702142857142858,173.40641669962716,38.49705480480436,55.92683385193594,4.648350441398322,294.2450040628117,50.492146086400005,87.87997173025862,5.113358939422938,1,1,1,0,MTL,0,1,1,0
109,S2,9,HC,0.5908095238095239,0.6066666666666667,0.6074047619047621,0.5065000000000001,14.516511520460243,4.171960531157674,7.753285272020396,1.2797497860823757,20.020593911216267,3.1406023185036087,6.0682109176638095,1.325224712170265,0,1,1,0,MTL,0,1,1,0
110,S2,13,HC,0.5010714285714286,0.678047619047619,0.730547619047619,0.5667857142857142,293.8426368803007,90.58289666044027,145.64021062311488,14.961943559523773,198.18483243280468,135.84293773991718,88.44188825354891,13.591612152061312,0,1,1,0,MTL,0,1,1,0
111,S2,14,HC,0.7034523809523809,0.7529285714285715,0.5288095238095238,0.5772857142857143,286.28480239865354,48.76610969281493,81.36101072839172,10.721284052935953,156.51033748813845,31.27041260721189,89.16671078479341,9.816134352393883,1,1,0,0,MTL,0,0,0,0
112,S2,15,HC,0.7083809523809526,0.6429761904761905,0.6826904761904762,0.5699047619047619,277.31379857538917,34.073892512646616,64.71326806138259,6.660378859654736,148.84861256809194,46.699419956327546,84.32557291386273,7.40913815321581,1,1,1,0,MTL,0,0,0,0
